"","date","national_demand","wind_generation","solar_generation","min_temp","max_temp","rain_mm","wind_speed","average_price_daily"
"1",2020-06-01,27193,1007,1490,11,22,0,14,2.81
"2",2020-06-02,27255,796,1170,10,22,0,9,3.434
"3",2020-06-03,27369,2284,394,6,15,5.1,16,2.011
"4",2020-06-04,28676,1501,577,9,15,2.9,16,3.066
"5",2020-06-05,25246,3954,1280,7,14,1.3,26,1.516
"6",2020-06-06,25723,2070,981,7,14,3.2,25,0.525
"7",2020-06-07,25966,1740,955,8,14,0.9,15,2.547
"8",2020-06-08,28818,546,1100,8,15,0,10,3.425
"9",2020-06-09,29231,686,789,10,16,0.1,7,2.827
"10",2020-06-10,30220,1350,528,11,16,1.1,7,2.598
"11",2020-06-11,27783,3136,461,8,15,2.1,24,3.087
"12",2020-06-12,27830,2270,654,12,17,3.8,22,3.213
"13",2020-06-13,25437,996,966,14,22,0.2,15,3.214
"14",2020-06-14,25837,596,1370,13,22,4.4,10,3.013
"15",2020-06-15,28177,486,1270,13,22,2.1,3,3.613
"16",2020-06-16,29234,442,1240,13,22,9,5,2.677
"17",2020-06-17,29544,485,671,14,22,6.8,8,2.918
"18",2020-06-18,29115,1044,735,13,16,23,9,3.347
"19",2020-06-19,27324,1657,1220,11,14,1.7,16,2.963
"20",2020-06-20,23818,1928,1320,12,20,0.8,17,2.968
"21",2020-06-21,23411,2179,1420,12,18,5.9,21,1.156
"22",2020-06-22,26121,2812,1320,10,20,0,17,2.596
"23",2020-06-23,27138,1401,1530,13,24,0,14,3.399
"24",2020-06-24,28205,876,1530,16,27,0,10,3.188
"25",2020-06-25,28066,1623,1430,18,27,0,15,3.173
"26",2020-06-26,27663,1124,1310,17,24,1.4,13,3.173
"27",2020-06-27,23304,3266,1210,12,19,13.9,24,1.861
"28",2020-06-28,22301,4039,913,11,17,1.3,29,-1.691
"29",2020-06-29,26659,3743,694,12,14,0.1,30,2.6
"30",2020-06-30,29445,1111,833,11,16,0.4,15,3.538
"31",2020-07-01,28948,1192,897,13,18,0.8,14,2.554
"32",2020-07-02,29077,950,1010,12,19,2.2,11,3.235
"33",2020-07-03,26473,2868,462,10,15,6.2,21,2.444
"34",2020-07-04,25378,2002,515,16,18,0.1,22,1.949
"35",2020-07-05,23302,4188,1370,12,17,0.2,30,2.559
"36",2020-07-06,27389,2102,1550,11,17,0.1,22,1.988
"37",2020-07-07,30413,1054,407,8,13,8.7,14,2.584
"38",2020-07-08,30831,1100,290,14,18,9.1,10,3.199
"39",2020-07-09,30720,925,504,12,16,3.9,14,2.637
"40",2020-07-10,27248,1573,1370,11,17,0,19,2.724
"41",2020-07-11,25071,1088,1470,10,17,0,15,2.454
"42",2020-07-12,25290,1337,1540,10,21,0,6,2.093
"43",2020-07-13,29082,1890,521,12,19,5.2,15,2.79
"44",2020-07-14,29404,1116,823,13,17,0,15,3.439
"45",2020-07-15,29663,1596,495,13,16,0.2,10,3.05
"46",2020-07-16,28973,1510,985,13,20,0,15,3.193
"47",2020-07-17,28260,1535,1100,14,21,0,13,2.256
"48",2020-07-18,25778,1448,909,14,17,1.6,13,3.011
"49",2020-07-19,24956,1503,1410,11,18,5.3,15,2.393
"50",2020-07-20,28194,1204,1450,10,17,0,12,2.501
"51",2020-07-21,29462,481,951,9,18,0,8,3.326
"52",2020-07-22,28892,1249,1220,12,21,0,10,2.607
"53",2020-07-23,28652,1367,789,12,18,0,15,3.174
"54",2020-07-24,27924,1479,628,13,22,0.9,10,3.992
"55",2020-07-25,25799,1305,733,15,21,2.9,18,3.679
"56",2020-07-26,24813,1950,711,13,19,0,20,2.759
"57",2020-07-27,26995,3545,937,13,20,8.8,24,2.44
"58",2020-07-28,25903,2499,1160,11,16,0,20,2.278
"59",2020-07-29,28736,722,970,11,18,0,12,2.297
"60",2020-07-30,29084,1114,1280,13,24,0,8,3.895
"61",2020-07-31,27967,1718,485,17,30,0.2,15,3.653
"62",2020-08-01,25797,935,951,14,21,1.4,15,2.362
"63",2020-08-02,25462,919,883,12,19,0.4,16,2.739
